FUNCTION,AGENCY
VF 216 LANDATA,VA 3745 Department of Treasury and Finance 1995 -1996 Prime
VF 236 COASTAL MANAGEMENT,VA 3097 Department of Conservation and Natural Resources 1995 -1996 Prime
VF 245 AGRICULTURE,"VA 3744 Department of Agriculture, Energy and Minerals 1995 -1996 Prime"
VF 261 FUEL PRICES REGULATION,"VA 3744 Department of Agriculture, Energy and Minerals 1995 -1996 Prime"
VF 313 GOVERNMENT INFORMATION SERVICE,"VA 3095 Department of Arts, Sport and Tourism 1995 -1996 Prime"
VF 321 RURAL AFFAIRS,"VA 3744 Department of Agriculture, Energy and Minerals 1995 -1996 Prime"
VF 327 HERITAGE PROTECTION,VA 3094 Department of Planning and Development 1995 -1996 Prime
VF 473 RURAL WATER RESOURCES POLICY,"VA 3744 Department of Agriculture, Energy and Minerals 1995 -1996 Prime"
"VF 125 HEALTH, PUBLIC",VA 5016 Women's and Children's Health Care Network (Women's and Children's Health from 2000) 1995 -2004 Prime
VF 3 CENSUS AND STATISTICS,VA 3745 Department of Treasury and Finance 1995 -ct Prime
VF 5 FINANCE,VA 3745 Department of Treasury and Finance 1995 -ct Prime
VF 5 FINANCE,VA 4267 Victorian Government Purchasing Board 1995 -ct Prime
VF 29 LAND TAX,VA 3745 Department of Treasury and Finance 1995 -ct Prime
VF 51 DISCHARGED SERVICEMEN'S EMPLOYMENT,VA 4287 Defence Reserves Re-Employment Board 1995 -ct Prime
VF 78 PROPERTY AND ASSETS,VA 3745 Department of Treasury and Finance 1995 -ct Prime
VF 122 RURAL WATER SUPPLY,VA 3749 Wimmera-Mallee Rural Water Authority 1995 -ct Prime
VF 180 ZOOS,VA 4289 Zoological Parks and Gardens Board Victoria 1995 -ct Prime
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),VA 4220 Heritage Council 1995 -ct Prime
VF 210 GOVERNMENT MOTOR TRANSPORT,VA 3745 Department of Treasury and Finance 1995 -ct Prime
"VF 213 BUILDINGS, GOVERNMENT (MANAGEMENT)",VA 3745 Department of Treasury and Finance 1995 -ct Prime
"VF 218 BUILDINGS, GOVERNMENT (OUTFITTING)",VA 3745 Department of Treasury and Finance 1995 -ct Prime
VF 236 COASTAL MANAGEMENT,VA 4252 Gippsland Lakes Regional Coastal Board 1995 -ct Prime
VF 236 COASTAL MANAGEMENT,VA 4249 Victorian Coastal Council 1995 -ct Prime
VF 236 COASTAL MANAGEMENT,VA 4251 Central Coast Regional Coastal Board 1995 -ct Prime
VF 236 COASTAL MANAGEMENT,VA 4250 Western Coast Regional Coastal Board (Western Coastal Board) 1995 -ct Prime
"VF 248 HEALTH, PUBLIC (INFANT AND MATERNAL)",VA 4057 Infertility Treatment Authority 1995 -ct Prime
"VF 303 BUILDINGS, HISTORIC (PROTECTION OF)",VA 4220 Heritage Council 1995 -ct Prime
"VF 304 BUILDINGS, GOVERNMENT (PRESERVATION OF)",VA 4220 Heritage Council 1995 -ct Prime
VF 348 LAND MONITORING,VA 3745 Department of Treasury and Finance 1995 -ct Prime
"VF 352 ENGINE DRIVERS AND BOILER ATTENDANTS, CERTIFICATION OF",VA 3081 Victorian WorkCover Authority 1995 -ct Prime
"VF 356 SCAFFOLDING INSPECTORS AND SCAFFOLDERS, CERTIFICATION OF",VA 3081 Victorian WorkCover Authority 1995 -ct Prime
VF 357 SCAFFOLDING REGULATIONS,VA 3081 Victorian WorkCover Authority 1995 -ct Prime
"VF 361 WELDERS OF BOILERS AND PRESSURE VESSELS, CERTIFICATION OF",VA 3081 Victorian WorkCover Authority 1995 -ct Prime
VF 364 LEGAL AID,VA 4160 Victoria Legal Aid 1995 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4246 Lower Murray Region Water Authority 1995 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4237 East Gippsland Region Water Authority 1995 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4244 Grampians Region Water Authority 1995 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4236 Central Highlands Region Water Authority 1995 -ct Prime
VF 110 VETERINARY SERVICES,"VA 3744 Department of Agriculture, Energy and Minerals 1996 -1996 Prime"
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 3096 Department of Business and Employment 1996 -1996 Prime
VF 150 DANGEROUS GOODS,VA 3096 Department of Business and Employment 1996 -1996 Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 3973 Department of State Development II 1996 -1997 Prime
VF 150 DANGEROUS GOODS,VA 3973 Department of State Development II 1996 -1997 Prime
VF 435 FILM PRODUCTION AND PROMOTION,VA 4119 State Film Centre of Victoria Council [CANCELLED: SEE VA 2325] 1996 -1997 Prime
VF 173 NATIONAL PARKS,VA 3972 Department of Natural Resources and the Environment 1996 -1998 Prime
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",VA 3971 Department of Infrastructure 1996 -1999 Prime
VF 170 REGIONAL DEVELOPMENT,VA 3973 Department of State Development II 1996 -1999 Prime
VF 188 WEIGHTS AND MEASURES,VA 3973 Department of State Development II 1996 -1999 Prime
VF 202 SPORT AND RECREATION,VA 3973 Department of State Development II 1996 -1999 Prime
VF 203 YOUTH AFFAIRS,VA 3970 Department of Human Services 1996 -1999 Prime
VF 220 ECONOMIC DEVELOPMENT,VA 3973 Department of State Development II 1996 -1999 Prime
VF 254 INDUSTRIAL COMPLIANCE,VA 3973 Department of State Development II 1996 -1999 Prime
VF 255 SHOP REGISTRATION,VA 3973 Department of State Development II 1996 -1999 Prime
VF 259 RETAIL TRADING HOURS,VA 3973 Department of State Development II 1996 -1999 Prime
VF 267 EMPLOYMENT OF CHILDREN,VA 3973 Department of State Development II 1996 -1999 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 3973 Department of State Development II 1996 -1999 Prime
VF 321 RURAL AFFAIRS,VA 3972 Department of Natural Resources and the Environment 1996 -1999 Prime
VF 325 SCHOOL BUS SERVICES,VA 3098 Department of Education 1996 -1999 Prime
VF 334 COODE ISLAND CHEMICAL STORAGE (RELOCATION OF),VA 3973 Department of State Development II 1996 -1999 Prime
VF 362 EMPLOYMENT,VA 3973 Department of State Development II 1996 -1999 Prime
VF 407 SMALL BUSINESS,VA 3973 Department of State Development II 1996 -1999 Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 3745 Department of Treasury and Finance 1996 -2000 Prime
VF 224 INDUSTRIAL RELATIONS,VA 3745 Department of Treasury and Finance 1996 -2000 Prime
VF 24 GEOLOGICAL SURVEY,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 30 FORESTS,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 110 VETERINARY SERVICES,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 111 ANIMAL PROTECTION,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 122 RURAL WATER SUPPLY,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Other
"VF 132 VERMIN, DESTRUCTION IN FORESTS",VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 149 GROUNDWATER RESOURCES,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 152 PETROLEUM INDUSTRY,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 178 SOIL CONSERVATION,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 184 LOCAL GOVERNMENT,VA 3971 Department of Infrastructure 1996 -2002 Prime
VF 206 PUBLIC RECORDS,VA 1039 Department of the Premier and Cabinet 1996 -2002 Other
VF 215 PLACE NAMES COMMITTEE,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 216 LANDATA,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 229 RESEARCH INSTITUTES,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 244 BUILDING REGULATION,VA 3971 Department of Infrastructure 1996 -2002 Prime
VF 245 AGRICULTURE,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 246 FISH MARKETING,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 261 FUEL PRICES REGULATION,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 284 CONSERVATION (FLORA),VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 309 CROWN LANDS (PUBLIC),VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 313 GOVERNMENT INFORMATION SERVICE,VA 1039 Department of the Premier and Cabinet 1996 -2002 Prime
VF 327 HERITAGE PROTECTION,VA 3971 Department of Infrastructure 1996 -2002 Prime
VF 328 ENVIRONMENT PROTECTION,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 342 PLANNING (POST 1988),VA 3971 Department of Infrastructure 1996 -2002 Prime
VF 347 ENVIRONMENT EFFECTS STATEMENTS,VA 3971 Department of Infrastructure 1996 -2002 Prime
VF 473 RURAL WATER RESOURCES POLICY,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 493 WATER RESOURCE MANAGEMENT,VA 3972 Department of Natural Resources and the Environment 1996 -2002 Prime
VF 459 PORT OF MELBOURNE - MANAGEMENT AND DEVELOPMENT,VA 4837 Melbourne Port Corporation 1996 -2008 Prime
"VF 248 HEALTH, PUBLIC (INFANT AND MATERNAL)",VA 3970 Department of Human Services 1996 -2007 Prime
VF 11 PORTS AND HARBOURS,VA 3971 Department of Infrastructure 1996 -2008 Prime
VF 325 SCHOOL BUS SERVICES,VA 3971 Department of Infrastructure 1996 -2008 Other
VF 403 PUBLIC TRANSPORT,VA 3971 Department of Infrastructure 1996 -2008 Prime
"VF 491 TRANSPORT SERVICES, CO-ORDINATION OF",VA 3971 Department of Infrastructure 1996 -2008 Prime
VF 28 CEMETERIES,VA 3970 Department of Human Services 1996 -2010 Prime
VF 67 HOSPITALS AND CHARITIES,VA 3970 Department of Human Services 1996 -2010 Prime
"VF 128 HEALTH, MENTAL",VA 3970 Department of Human Services 1996 -2010 Prime
VF 247 DOMICILIARY CARE SERVICES,VA 3970 Department of Human Services 1996 -2010 Prime
VF 322 OLDER PERSONS' SERVICES,VA 3970 Department of Human Services 1996 -2010 Prime
VF 323 SENIOR CITIZENS' WEEK,VA 3970 Department of Human Services 1996 -2010 Prime
"VF 22 LIBRARY, STATE",VA 1039 Department of the Premier and Cabinet 1996 -ct Prime
VF 53 CRIMES COMPENSATION,VA 4283 Victims of Crime Assistance Tribunal 1996 -ct Prime
VF 60 PRISONS AND CORRECTIONAL SERVICES,"VA 4367 Correctional Services (known as CORE, the Public Correctional Enterprise) 1996 -ct Prime"
"VF 69 INSURANCE, STATE",VA 4591 Victorian Managed Insurance Authority 1996 -ct Prime
VF 82 GALLERIES,VA 1039 Department of the Premier and Cabinet 1996 -ct Prime
VF 83 MUSEUMS,VA 1039 Department of the Premier and Cabinet 1996 -ct Prime
VF 93 PROBATION AND PAROLE SERVICES (YOUTH),VA 3970 Department of Human Services 1996 -ct Prime
VF 99 IMMIGRATION (MONITORING ARRIVALS),"VA 4369 Department of Immigration and Multicultural Affairs, State Office, Victoria 1996 -ct Prime"
"VF 125 HEALTH, PUBLIC",VA 3970 Department of Human Services 1996 -ct Prime
"VF 174 HOUSING, PUBLIC",VA 3970 Department of Human Services 1996 -ct Prime
VF 193 ARTS FUNDING,VA 1039 Department of the Premier and Cabinet 1996 -ct Prime
VF 194 ARTS,VA 1039 Department of the Premier and Cabinet 1996 -ct Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 3970 Department of Human Services 1996 -ct Prime
VF 250 PHYSICAL AND SENSORY DISABILITY SERVICES,VA 3970 Department of Human Services 1996 -ct Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 3970 Department of Human Services 1996 -ct Prime
VF 252 WELFARE SERVICES,VA 3970 Department of Human Services 1996 -ct Prime
"VF 298 CHILDREN'S HOMES, FUNDING",VA 3970 Department of Human Services 1996 -ct Prime
"VF 303 BUILDINGS, HISTORIC (PROTECTION OF)",VA 4836 Heritage Victoria 1996 -ct Prime
VF 340 STATE ARTIST,VA 1039 Department of the Premier and Cabinet 1996 -ct Prime
VF 394 LAW,VA 4283 Victims of Crime Assistance Tribunal 1996 -ct Prime
VF 394 LAW,VA 4271 Office of the Legal Ombudsman 1996 -ct Prime
VF 394 LAW,VA 4273 Legal Practice Board 1996 -ct Prime
VF 394 LAW,VA 4274 Legal Profession Tribunal 1996 -ct Prime
VF 424 CHILD MAINTENANCE (FINANCIAL ALLOWANCES FOR),VA 3970 Department of Human Services 1996 -ct Prime
"VF 427 CHILDREN, NEGLECTED, REGISTRATION OF HOMES FOR",VA 3970 Department of Human Services 1996 -ct Prime
"VF 450 JUVENILE DELINQUENTS, DETENTION AND WELFARE OF",VA 3970 Department of Human Services 1996 -ct Prime
VF 496 WELFARE SERVICES (FAMILY),VA 3970 Department of Human Services 1996 -ct Prime
VF 498 WELFARE SERVICES (NEGLECTED CHILDREN),VA 3970 Department of Human Services 1996 -ct Prime
VF 499 WELFARE SERVICES (YOUTH),VA 3970 Department of Human Services 1996 -ct Prime
"VF 500 WELFARE, MATERNAL AND CHILD",VA 3970 Department of Human Services 1996 -ct Prime
VF 435 FILM PRODUCTION AND PROMOTION,VA 1071 Film Victoria I 1997 -1997 Prime
VF 435 FILM PRODUCTION AND PROMOTION,VA 2325 State Film Centre 1997 -1997 Prime
VF 148 GAS AND FUEL,VA 4414 Multinet 1997 -1999 Prime
VF 148 GAS AND FUEL,VA 4413 Stratus Networks 1997 -1999 Prime
VF 148 GAS AND FUEL,VA 4415 Westar 1997 -1999 Prime
VF 11 PORTS AND HARBOURS,VA 4264 Hastings Port (Holding) Corporation 1997 -ct Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 4074 Loy Yang Power Management Pty Ltd (previously known as Loy Yang Power Ltd) 1997 -ct Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 4263 Victorian Energy Networks Corporation (VENCorp) 1997 -ct Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 3745 Department of Treasury and Finance 1997 -ct Prime
VF 148 GAS AND FUEL,VA 4263 Victorian Energy Networks Corporation (VENCorp) 1997 -ct Prime
VF 150 DANGEROUS GOODS,VA 3745 Department of Treasury and Finance 1997 -ct Prime
VF 195 FILM LIBRARY AND THEATRE,VA 4117 Cinemedia Corporation 1997 -ct Prime
VF 223 FIRE SERVICES,VA 4363 Metropolitan Fire and Emergency Services Board 1997 -ct Prime
VF 238 PLANNING (CROWN LAND USE),VA 4288 Environment Conservation Council 1997 -ct Prime
VF 435 FILM PRODUCTION AND PROMOTION,VA 4117 Cinemedia Corporation 1997 -ct Prime
"VF 457 PLUMBERS/GASFITTERS, REGISTRATION/REGULATION OF",VA 4256 Plumbing Industry Commission 1997 -ct Prime
"VF 460 PORTS, EASTERN VICTORIA, ADMINISTRATION OF",VA 4264 Hastings Port (Holding) Corporation 1997 -ct Prime
"VF 467 RAILWAY SURVEY, CONSTRUCTION AND MANAGEMENT",VA 4616 Victorian Rail Track (Vic Track) 1997 -ct Prime
 LIQUOR LICENSING,VA 3973 Department of State Development II 1998 -1999 Other
VF 173 NATIONAL PARKS,VA 3972 Department of Natural Resources and the Environment 1998 -2002 Other
VF 68 PUBLIC SERVICE,VA 4268 Office of Public Employment 1998 -2005 Prime
VF 94 LIQUOR LICENSING,VA 4824 Director of Liquor Licensing 1998 -2012 Prime
VF 55 TRANSPORT ACCIDENT COMPENSATION APPEALS,VA 4146 Victorian Civil and Administrative Tribunal 1998 -ct Prime
VF 94 LIQUOR LICENSING,VA 4270 Co-ordinating Council on the Control of Liquor Abuse 1998 -ct Prime
VF 94 LIQUOR LICENSING,VA 4269 Liquor Licensing Panel 1998 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 4787 Northern Hospital 1998 -ct Prime
"VF 128 HEALTH, MENTAL",VA 4270 Co-ordinating Council on the Control of Liquor Abuse 1998 -ct Prime
VF 141 CONSUMER PROTECTION,VA 4213 Business Licensing Authority 1998 -ct Prime
VF 173 NATIONAL PARKS,VA 4253 Parks Victoria 1998 -ct Prime
VF 224 INDUSTRIAL RELATIONS,VA 4213 Business Licensing Authority 1998 -ct Prime
VF 242 PLANNING APPEALS,VA 4146 Victorian Civil and Administrative Tribunal 1998 -ct Prime
"VF 300 CHARITIES, PUBLIC (INSPECTION OF)",VA 4146 Victorian Civil and Administrative Tribunal 1998 -ct Prime
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",VA 4269 Liquor Licensing Panel 1998 -ct Prime
VF 365 TAXATION APPEALS,VA 4146 Victorian Civil and Administrative Tribunal 1998 -ct Prime
VF 366 ADMINISTRATIVE APPEALS,VA 4146 Victorian Civil and Administrative Tribunal 1998 -ct Prime
VF 366 ADMINISTRATIVE APPEALS,VA 4208 Electrical Appeals Board 1998 -ct Prime
VF 469 REGISTRATION SERVICES,VA 4213 Business Licensing Authority 1998 -ct Prime
VF 470 RENT CONTROL - PRESCRIBED PREMISES,VA 4146 Victorian Civil and Administrative Tribunal 1998 -ct Prime
VF 479 TOURISM PUBLICITY AND PROMOTION,VA 4879 Falls Creek Alpine Resort Management Board 1998 -ct Prime
VF 481 TOURIST RESORTS AND FACILITIES DEVELOPMENT,VA 4879 Falls Creek Alpine Resort Management Board 1998 -ct Prime
VF 19 EDUCATION,"VA 4828 Department of Education, Employment and Training 1999 -2002 Prime"
VF 94 LIQUOR LICENSING,VA 4189 Department of State and Regional Development 1999 -2002 Other
VF 120 SCHOOL ATTENDANCE REGULATION,"VA 4828 Department of Education, Employment and Training 1999 -2002 Prime"
VF 170 REGIONAL DEVELOPMENT,VA 4189 Department of State and Regional Development 1999 -2002 Prime
VF 188 WEIGHTS AND MEASURES,VA 4189 Department of State and Regional Development 1999 -2002 Prime
VF 202 SPORT AND RECREATION,VA 4189 Department of State and Regional Development 1999 -2002 Prime
VF 203 YOUTH AFFAIRS,"VA 4828 Department of Education, Employment and Training 1999 -2002 Prime"
VF 220 ECONOMIC DEVELOPMENT,VA 4189 Department of State and Regional Development 1999 -2002 Prime
VF 255 SHOP REGISTRATION,VA 4189 Department of State and Regional Development 1999 -2002 Prime
VF 259 RETAIL TRADING HOURS,VA 4189 Department of State and Regional Development 1999 -2002 Prime
VF 267 EMPLOYMENT OF CHILDREN,VA 4189 Department of State and Regional Development 1999 -2002 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 4189 Department of State and Regional Development 1999 -2002 Prime
VF 318 EDUCATION (TERTIARY) POST C.1987,"VA 4828 Department of Education, Employment and Training 1999 -2002 Prime"
VF 325 SCHOOL BUS SERVICES,"VA 4828 Department of Education, Employment and Training 1999 -2002 Prime"
VF 339 WOMEN'S AFFAIRS,VA 1039 Department of the Premier and Cabinet 1999 -2002 Prime
VF 362 EMPLOYMENT,"VA 4828 Department of Education, Employment and Training 1999 -2002 Prime"
VF 321 RURAL AFFAIRS,VA 4189 Department of State and Regional Development 1999 -2003 Prime
VF 5 FINANCE,VA 4262 Government Superannuation Office 1999 -ct Prime
VF 231 ETHNIC AFFAIRS,VA 4254 Victorian Interpreting and Translating Service (VITS) 1999 -ct Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 4189 Department of State and Regional Development 2000 -2002 Prime
VF 224 INDUSTRIAL RELATIONS,VA 4189 Department of State and Regional Development 2000 -2002 Prime
VF 363 RENEWABLE ENERGY,VA 4292 Sustainable Energy Authority Victoria 2000 -2005 Prime
"VF 125 HEALTH, PUBLIC",VA 4915 Chinese Medicine Registration Board of Victoria 2000 -ct Prime
VF 394 LAW,VA 4859 Victorian Law Reform Commission 2000 -ct Prime
VF 202 SPORT AND RECREATION,VA 4782 Melbourne 2006 Commonwealth Games Corporation 2001 -2006 Other
VF 435 FILM PRODUCTION AND PROMOTION,VA 4788 Film Victoria II 2001 -ct Prime
VF 94 LIQUOR LICENSING,"VA 4564 Department of Innovation, Industry and Regional Development 2002 -2002 Other"
VF 202 SPORT AND RECREATION,"VA 4560 Department of Tourism, Sport and the Commonwealth Games 2002 -2002 Prime"
VF 362 EMPLOYMENT,"VA 4564 Department of Innovation, Industry and Regional Development 2002 -2003 Prime"
VF 19 EDUCATION,VA 4829 Department of Education and Training 2002 -2006 Prime
"VF 39 BIRTHS, DEATHS AND MARRIAGES",VA 4562 Department for Victorian Communities 2002 -2006 Other
